bill_type,bill_year,bill_congress,rouge_l,rouge_1,rouge_2,rouge_3,bleu_score
s,112,2762,0.45325779,0.603399433,0.5,0.396011396,0.623755462
s,112,2763,0.366336634,0.518151815,0.503311258,0.485049834,0.677101182
s,112,2764,0.432432432,0.525798526,0.419753086,0.342431762,0.713565048
s,112,2765,0.36900369,0.501845018,0.485185185,0.464684015,0.707106781
s,112,2766,0.328413284,0.424354244,0.418518519,0.405204461,0.714670496
s,112,2767,0.355987055,0.521035599,0.506493506,0.488599349,0.672855824
s,112,2768,0.331384016,0.40545809,0.320939335,0.235756385,0.696880859
s,112,2769,0.537906137,0.667870036,0.597826087,0.52,0.636392382
s,112,276,0.44646098,0.631578947,0.564663024,0.47166362,0.538373695
s,112,2770,0.457875458,0.655677656,0.518382353,0.464944649,0.655639746
s,112,2771,0.35235732,0.496277916,0.408977556,0.325814536,0.69818814
s,112,2772,0.641840088,0.668127054,0.632272228,0.624862486,0.572798963
s,112,2773,0.643127364,0.678436318,0.639696587,0.633713561,0.597423891
s,112,2774,0.315789474,0.516129032,0.504258944,0.488888889,0.677370997
s,112,2775,0.460071514,0.593563766,0.49223417,0.433532934,0.635105435
s,112,2776,0.514767932,0.658227848,0.580508475,0.49787234,0.644778807
s,112,2777,0.415686275,0.568627451,0.559055118,0.545454545,0.662899219
s,112,2778,0.457875458,0.655677656,0.518382353,0.464944649,0.655639746
s,112,2779,0.468634686,0.645756458,0.492592593,0.453531599,0.653870122
s,112,2780,0.441687345,0.580645161,0.573566085,0.556390977,0.685129764
s,112,2781,0.64160401,0.679197995,0.640703518,0.62720403,0.580970197
s,112,2782,0.444444444,0.589147287,0.576623377,0.558746736,0.697613262
s,112,2783,0.561253561,0.658119658,0.602857143,0.544412607,0.632788842
s,112,2784,0.563814867,0.659186536,0.604781997,0.547249647,0.621686397
s,112,2785,0.403433476,0.575107296,0.564655172,0.54978355,0.669984478
s,112,2786,0.55906822,0.702163062,0.58096828,0.499162479,0.624953385
s,112,2787,0.43231441,0.672489083,0.596491228,0.533039648,0.638943104
s,112,2788,0.591928251,0.726457399,0.602698651,0.535338346,0.593482716
s,112,2789,0.423809524,0.585714286,0.574162679,0.557692308,0.702755148
s,112,278,0.195253023,0.23914017,0.204392649,0.148945716,0.378157558
s,112,2790,0.41038961,0.706493506,0.610966057,0.535433071,0.688447222
s,112,2791,0.38512035,0.472647702,0.457142857,0.437086093,0.700466546
s,112,2792,0.396588486,0.47761194,0.462526767,0.443010753,0.700706967
s,112,2793,0.364729459,0.48496994,0.474849095,0.456565657,0.715644828
s,112,2794,0.396946565,0.58778626,0.444444444,0.392307692,0.675807221
s,112,2795,0.369609856,0.484599589,0.470103093,0.451345756,0.710084139
s,112,2796,0.390057361,0.497131931,0.483685221,0.46628131,0.675079784
s,112,2797,0.427906977,0.581395349,0.570093458,0.55399061,0.687958126
s,112,2798,0.527559055,0.669291339,0.592885375,0.507936508,0.644381408
s,112,2799,0.431924883,0.58685446,0.566037736,0.530805687,0.687958126
s,112,279,0.783739837,0.891056911,0.831973899,0.775777414,0.587189419
s,112,2800,0.431077694,0.586466165,0.574307305,0.556962025,0.699428045
s,112,2801,0.394067797,0.474576271,0.463829787,0.444444444,0.723720397
s,112,2802,0.471976401,0.625368732,0.49704142,0.46884273,0.645408782
s,112,2803,0.369098712,0.537911302,0.525107604,0.509352518,0.670511818
s,112,2804,0.359168242,0.49905482,0.489563567,0.468571429,0.678650268
s,112,2805,0.414322251,0.705882353,0.616966581,0.5374677,0.662687734
s,112,2806,0.485849057,0.721698113,0.535545024,0.480952381,0.638943104
s,112,2807,0.362676056,0.51056338,0.501766784,0.485815603,0.65073076
s,112,2808,0.448113208,0.537735849,0.431279621,0.357142857,0.700930585
s,112,2809,0.398305085,0.478813559,0.468085106,0.448717949,0.692586028
